<Rules>,,,,,,,,,,,,
Colors,11,D,E,F,G,H,I,J,K,L,M,N
Clarities,10,VVS1,VVS2,VS1,VS2,SI1,SI2,SI3,I1,I2,I3,
EX,VVS1,E,1.9356,1.9855,7,Diameter,,,,,,
EX,VVS2,E,1.9356,1.9855,0.01,Diameter,,,,,,
EX,VS1,E,1.9356,1.9855,5.1,Diameter,,,,,,
EX,VS2,E,1.9356,1.9855,4.65,Diameter,,,,,,
EX,SI1,E,1.9356,1.9855,4.2,Diameter,,,,,,
EX,SI2,E,1.9356,1.9855,3.85,Diameter,,,,,,
EX,SI3,E,1.9356,1.9855,3.3,Diameter,,,,,,
EX,I1,E,1.9356,1.9855,2.95,Diameter,,,,,,
EX,I2,E,1.9356,1.9855,2.35,Diameter,,,,,,
EX,I3,E,1.9356,1.9855,2,Diameter,,,,,,
EX,VVS1,F,1.9356,1.9855,6.65,Diameter,,,,,,
EX,VVS2,F,1.9356,1.9855,0.01,Diameter,,,,,,
EX,VS1,F,1.9356,1.9855,4.9,Diameter,,,,,,
EX,VS2,F,1.9356,1.9855,4.5,Diameter,,,,,,
EX,SI1,F,1.9356,1.9855,4.2,Diameter,,,,,,
EX,SI2,F,1.9356,1.9855,3.85,Diameter,,,,,,
EX,SI3,F,1.9356,1.9855,3.3,Diameter,,,,,,
EX,I1,F,1.9356,1.9855,2.95,Diameter,,,,,,
EX,I2,F,1.9356,1.9855,2.35,Diameter,,,,,,
EX,I3,F,1.9356,1.9855,2,Diameter,,,,,,
EX,VVS1,G,1.9356,1.9855,6.65,Diameter,,,,,,
EX,VVS2,G,1.9356,1.9855,0.01,Diameter,,,,,,
EX,VS1,G,1.9356,1.9855,4.9,Diameter,,,,,,
EX,VS2,G,1.9356,1.9855,4.5,Diameter,,,,,,
EX,SI1,G,1.9356,1.9855,4.2,Diameter,,,,,,
EX,SI2,G,1.9356,1.9855,3.85,Diameter,,,,,,
EX,SI3,G,1.9356,1.9855,3.3,Diameter,,,,,,
EX,I1,G,1.9356,1.9855,2.95,Diameter,,,,,,
EX,I2,G,1.9356,1.9855,2.35,Diameter,,,,,,
EX,I3,G,1.9356,1.9855,2,Diameter,,,,,,
EX,VVS1,H,1.9356,1.9855,5.3,Diameter,,,,,,
EX,VVS2,H,1.9356,1.9855,0.01,Diameter,,,,,,
EX,VS1,H,1.9356,1.9855,4.25,Diameter,,,,,,
EX,VS2,H,1.9356,1.9855,4.1,Diameter,,,,,,
EX,SI1,H,1.9356,1.9855,3.7,Diameter,,,,,,
EX,SI2,H,1.9356,1.9855,3.4,Diameter,,,,,,
EX,SI3,H,1.9356,1.9855,2.95,Diameter,,,,,,
EX,I1,H,1.9356,1.9855,2.55,Diameter,,,,,,
EX,I2,H,1.9356,1.9855,2.2,Diameter,,,,,,
